id,date,time,track_id,class_name,speed,numberplate
1,2025-02-03,17:22:11,3,numberplate,1,"3589 xT
"
2,2025-02-03,17:22:24,2,numberplate,12,"ors ook
"
1,2025-02-03,17:22:51,3,numberplate,11,"3589 xT
"
2,2025-02-03,17:23:02,2,numberplate,13,"ors ook
"
3,2025-02-03,17:23:13,1,numberplate,12,"M2835 BSY
"
4,2025-02-03,17:23:34,13,numberplate,15,"P5553 DNW
"
5,2025-02-03,17:23:40,14,numberplate,13,"83693 FSG
"
1,2025-02-03,17:26:28,3,numberplate,9,"3589 xT
"
2,2025-02-03,17:26:40,2,numberplate,12,"ors ook
"
3,2025-02-03,17:26:52,1,numberplate,10,"M2835 BSY
"
4,2025-02-03,17:27:16,13,numberplate,13,"P5553 DNW
"
5,2025-02-03,17:27:24,14,numberplate,10,"83693 FSG
"
6,2025-02-03,17:27:41,18,numberplate,8,"WaS77 ENV,
"
7,2025-02-03,17:27:51,20,numberplate,9,"p0262 HEP)
"
8,2025-02-03,17:28:14,31,numberplate,12,"'9916 GHS-
"
9,2025-02-03,17:28:34,34,numberplate,8,"17363 JV)
"
10,2025-02-03,17:28:35,41,numberplate,14,"pay
"
11,2025-02-03,17:28:51,37,numberplate,10,"f 3092 FRX |
"
12,2025-02-03,17:29:09,45,numberplate,11,"11024 ORJI
"
13,2025-02-03,17:29:21,38,numberplate,7,"im. iwZWe
"
14,2025-02-03,17:29:29,46,numberplate,13,"8174 HOL
"
1,2025-02-03,17:45:56,3,numberplate,8,"3589 xT
"
2,2025-02-03,17:46:09,2,numberplate,10,"ors ook
"
3,2025-02-03,17:46:23,1,numberplate,11,"M2835 BSY
"
1,2025-02-03,17:46:47,1,numberplate,3,"8589 BXT
"
2,2025-02-03,17:47:29,2,numberplate,2,"fors2 con)
"
1,2025-02-03,17:50:05,7,numberplate,0,9079OCH
